# Temperatures_K Pressures_bar z_km Mass_fraction_CO Mass_fraction_CO2 Mass_fraction_N2 Mass_fraction_CH4 Mass_fraction_H2O Mass_fraction_O2
2.618000000000000114e+02 5.800000000000000711e-01 2.926000000000000156e+00 5.083533854344921143e-33 5.960368550117229356e-30 2.390622128715196681e-12 9.999999999976093568e-01 5.009072959479367096e-98 4.719474905143039259e-95
2.626000000000000227e+02 6.330000000000000071e-01 2.450000000000000178e+00 5.697154716275261263e-33 6.297209204200211059e-30 2.282434468242294831e-12 9.999999999977176035e-01 9.452350132481351066e-98 8.500263714287226086e-95
2.623000000000000114e+02 6.851000000000000423e-01 2.020000000000000018e+00 4.365195704840272446e-33 4.932663714551263966e-30 1.856932398784485168e-12 9.999999999981430410e-01 7.047512939824245254e-98 6.098499955249801425e-95
2.611000000000000227e+02 7.355000000000000426e-01 1.633000000000000007e+00 2.451761436337868766e-33 3.027848763044627679e-30 1.327628273839735689e-12 9.999999999986722843e-01 2.447829687996517457e-98 2.053279404209250948e-95
2.586999999999999886e+02 7.834000000000000963e-01 1.292000000000000037e+00 8.949768886058381034e-34 1.323530067605606519e-30 7.905557508985320956e-13 9.999999999992094102e-01 2.986065297488145071e-99 2.448662266946969750e-96
2.551999999999999886e+02 8.272000000000000464e-01 1.002000000000000002e+00 2.155853024315923632e-34 4.172592133951998609e-31 3.952010173601052943e-13 9.999999999996048716e-01 1.320069917643120404e-100 1.067657193503995249e-97
2.506999999999999886e+02 8.659000000000001140e-01 7.621999999999999886e-01 3.443360966639635892e-35 9.527460551207316575e-32 1.662779580441376647e-13 9.999999999998336886e-01 2.135478775817218429e-102 1.718780240528878702e-99
2.453000000000000114e+02 8.993000000000000993e-01 5.665999999999999925e-01 3.630970167536873643e-36 1.570464065546000382e-32 5.874735104925730105e-14 9.999999999999412692e-01 1.253025980670124783e-104 1.012467737403588056e-101
2.386999999999999886e+02 9.287000000000000810e-01 4.048999999999999821e-01 2.096834721223713484e-37 1.610627772683118158e-33 1.601524926982160955e-14 9.999999999999840128e-01 1.727945559659085692e-107 1.415573173196097071e-104
2.320000000000000000e+02 9.555000000000001270e-01 2.656000000000000028e-01 9.981389174170231075e-39 1.421657074998555595e-34 4.032014151001462724e-15 9.999999999999960032e-01 1.476628698735126528e-110 1.232253361563411235e-107
2.224000000000000057e+02 9.797000000000001263e-01 1.472999999999999865e-01 9.660217516628996377e-41 3.563342816900077052e-36 5.053473305087090885e-16 9.999999999999995559e-01 2.858020955770934628e-115 2.480004645430796485e-112
2.218000000000000114e+02 1.001000000000000112e+00 4.798000000000000181e-02 6.857641369279442401e-41 2.692135709244589387e-36 4.241170237790461745e-16 9.999999999999995559e-01 1.392124777676822606e-115 1.199169345634811863e-112
2.140999999999999943e+02 1.012000000000000011e+00 0.000000000000000000e+00 1.239798659691203604e-42 1.117572847431692260e-37 7.142528182728802404e-17 9.999999999999998890e-01 1.095826231049560061e-119 9.831585671651883262e-117
