# wavelengths_cm Transit_radius_cm depth_ppm
1.005005097611864620e-05 5.970167095995031595e+08 1.878781947508454095e+02
1.015116000897692046e-05 5.970167095271981955e+08 1.878781934913260159e+02
1.025328625424038038e-05 5.970167093601239920e+08 1.878781905809703403e+02
1.035643994562451910e-05 5.970167089940993786e+08 1.878781842049904469e+02
1.046063141980162690e-05 5.970167082312964201e+08 1.878781709173132981e+02
1.056587111743663455e-05 5.970167067143660784e+08 1.878781444930847044e+02
1.067216958423325494e-05 5.970167038274564743e+08 1.878780942044480469e+02
1.077953747199078372e-05 5.970166985551882982e+08 1.878780023639641570e+02
1.088798553967148446e-05 5.970166892918914557e+08 1.878778410015991938e+02
1.099752465447867697e-05 5.970166735964254141e+08 1.878775675938148595e+02
1.110816579294569980e-05 5.970166478927869797e+08 1.878771198482958198e+02
1.121992004203588582e-05 5.970166071231446266e+08 1.878764096599831248e+02
1.133279860025347477e-05 5.970165443672376871e+08 1.878753164812034129e+02
1.144681277876580652e-05 5.970164504492875338e+08 1.878736804743055586e+02
1.156197400253681723e-05 5.970163135594784021e+08 1.878712959181234510e+02
1.167829381147182123e-05 5.970161189206341505e+08 1.878679054018123509e+02
1.179578386157390591e-05 5.970158485311260223e+08 1.878631953467161964e+02
1.191445592611200192e-05 5.970154810117312670e+08 1.878567933391623228e+02
1.203432189680054941e-05 5.970149915777124166e+08 1.878482676447850963e+02
1.215539378499117002e-05 5.970143521475942135e+08 1.878371291043509643e+02
1.227768372287629902e-05 5.970135315895100832e+08 1.878228354263349900e+02
1.240120396470489779e-05 5.970124960941245556e+08 1.878047976848187091e+02
1.252596688801037718e-05 5.970112096535979509e+08 1.877823886650449481e+02
1.265198499485092818e-05 5.970096346173938513e+08 1.877549525480003467e+02
1.277927091306235479e-05 5.970077322929106951e+08 1.877218153762713655e+02
1.290783739752339217e-05 5.970054635554507971e+08 1.876822956829385305e+02
1.303769733143384548e-05 5.970027894382548332e+08 1.876357147735546391e+02
1.316886372760564090e-05 5.969996716752072573e+08 1.875814061838849511e+02
1.330134972976669727e-05 5.969960731783627272e+08 1.875187240023686286e+02
1.343516861387804377e-05 5.969919584391138554e+08 1.874470498624547190e+02
1.357033378946423078e-05 5.969872938505203724e+08 1.873657985614713368e+02
1.370685880095693256e-05 5.969820479522552490e+08 1.872744223313070222e+02
1.384475732905225145e-05 5.969761916049509048e+08 1.871724138789511187e+02
1.398404319208165085e-05 5.969696981047170162e+08 1.870593083844717057e+02
1.412473034739655088e-05 5.969625432456328869e+08 1.869346845922699174e+02
1.426683289276699831e-05 5.969547053407639265e+08 1.867981651793498941e+02
1.441036506779437009e-05 5.969461652073878050e+08 1.866494164996151142e+02
1.455534125533826816e-05 5.969369061259241104e+08 1.864881478695392616e+02
1.470177598295772397e-05 5.969269137719712257e+08 1.863141103848551268e+02
1.484968392436698721e-05 5.969161761323120594e+08 1.861270954574479788e+02
1.499907990090598520e-05 5.969046834033323526e+08 1.859269330454037004e+02
1.514997888302542068e-05 5.968924278765776157e+08 1.857134896585571937e+02
1.530239599178694843e-05 5.968794038163110018e+08 1.854866662242903601e+02
