# Temperatures_K Pressures_bar z_km Mass_fraction_CO Mass_fraction_CO2 Mass_fraction_N2 Mass_fraction_CH4 Mass_fraction_H2O Mass_fraction_O2
1.865000000000000000e+02 1.413000000000000193e-04 5.542000000000000171e+01 2.760626798789993280e-42 8.749033650742618456e-36 2.146713231966652133e-12 9.999999999978532728e-01 3.114032122943234018e-135 2.909535575126239944e-130
1.826999999999999886e+02 2.510000000000000295e-04 5.203999999999999915e+01 5.723317075997273068e-44 3.228476210592344680e-37 2.063650731513360660e-13 9.999999999997936095e-01 3.553465153778636148e-138 2.579568417335086541e-133
1.836999999999999886e+02 4.461000000000000555e-04 4.860000000000000142e+01 3.753617490370049869e-44 1.815008412213954005e-37 8.983549153646695038e-14 9.999999999999100719e-01 1.508678007362193179e-137 8.138540073053339179e-133
1.829000000000000057e+02 7.937000000000001563e-04 4.517999999999999972e+01 6.625502998762026417e-45 3.623476588573151993e-38 2.200152275436939298e-14 9.999999999999780176e-01 2.830635458942116177e-138 1.153373568082503016e-133
1.826999999999999886e+02 1.413000000000000193e-03 4.178000000000000114e+01 1.805977790784764577e-45 1.018740720172264880e-38 6.511774009389748023e-15 9.999999999999935607e-01 1.497686076506024018e-138 4.582279362749224264e-134
1.825999999999999943e+02 2.510000000000000078e-03 3.839000000000000057e+01 5.319009192986017570e-46 3.047303781381613422e-39 1.998588451552496290e-15 9.999999999999980016e-01 9.438897735349480063e-139 2.168832019158870037e-134
1.821999999999999886e+02 4.461000000000000555e-03 3.499000000000000199e+01 1.255150120114638782e-46 7.652268684506852336e-40 5.564274057110195871e-16 9.999999999999994449e-01 3.517840315389017080e-139 6.086192825547914142e-135
1.794000000000000057e+02 7.937000000000001346e-03 3.162000000000000099e+01 4.889693526673826705e-48 4.643996021367142502e-41 7.041921535453801475e-17 9.999999999999998890e-01 1.807118528529948946e-141 2.408299277147037365e-137
1.786999999999999886e+02 1.524000000000000181e-02 2.785999999999999943e+01 7.780624170202028498e-49 8.274042925700270295e-42 1.513038114404118728e-17 1.000000000000000000e+00 3.661955381708336914e-142 3.546386350409412888e-138
1.775000000000000000e+02 2.591000000000000247e-02 2.473999999999999844e+01 1.068639676886326630e-49 1.382341606401511205e-42 3.496583105850619828e-18 1.000000000000000000e+00 3.110023389758771416e-143 2.337923006624426157e-139
1.781999999999999886e+02 3.760000000000000148e-02 2.257999999999999829e+01 8.711217065099394963e-50 1.004823433371279286e-42 2.102337491775568242e-18 1.000000000000000000e+00 9.353169358338244920e-143 5.795632950082477512e-139
1.795000000000000000e+02 5.081000000000000100e-02 2.082000000000000028e+01 1.287175692851611024e-49 1.203001414359353775e-42 1.776227412543537684e-18 1.000000000000000000e+00 8.556384656284960778e-142 4.502353585129442122e-138
1.805000000000000000e+02 6.606000000000000760e-02 1.928000000000000114e+01 1.618496253232756832e-49 1.289322494131878331e-42 1.460857065410601236e-18 1.000000000000000000e+00 4.518979476706085082e-141 2.065124904392884465e-137
1.814000000000000057e+02 8.283000000000000085e-02 1.794999999999999929e+01 2.015071492305049485e-49 1.392414610792534981e-42 1.246216628834772782e-18 1.000000000000000000e+00 1.996906224099887461e-140 8.079140082713589266e-137
1.834000000000000057e+02 1.006000000000000089e-01 1.680000000000000071e+01 5.937171137838472882e-49 3.006128199600545753e-42 1.606089697270153820e-18 1.000000000000000000e+00 5.984510787042184925e-139 2.155805800059473061e-135
1.871999999999999886e+02 1.199000000000000066e-01 1.575000000000000000e+01 6.261383112858140758e-48 1.789100871858501606e-41 3.695333086404844723e-18 1.000000000000000000e+00 3.432726982191085597e-136 1.094190013792868428e-132
1.924000000000000057e+02 1.413000000000000089e-01 1.475000000000000000e+01 1.544509751109411079e-46 2.094232928554502214e-40 1.250903558271851917e-17 1.000000000000000000e+00 1.407962508526020567e-132 3.953998450206511734e-129
1.980999999999999943e+02 1.642000000000000126e-01 1.378999999999999915e+01 4.465188225273688070e-45 2.800289734165692462e-39 4.620900542729082059e-17 1.000000000000000000e+00 7.871140817105113943e-129 1.959430539751162842e-125
2.038000000000000114e+02 1.883000000000000229e-01 1.290000000000000036e+01 1.084127502826246212e-43 3.286699514229261059e-38 1.608135428060353806e-16 9.999999999999998890e-01 2.726376933407311044e-125 6.075794577578461255e-122
2.094000000000000057e+02 2.140000000000000235e-01 1.203999999999999915e+01 2.106574646537789164e-42 3.252874986674753488e-37 5.136042882579066153e-16 9.999999999999995559e-01 5.319310848287462002e-122 1.069844623472816285e-118
2.150000000000000000e+02 2.417000000000000259e-01 1.119999999999999929e+01 3.515820462895302343e-41 2.866714481111739530e-36 1.547638281160284972e-15 9.999999999999984457e-01 7.001723717514207489e-119 1.278194676649272820e-115
2.205000000000000000e+02 2.719000000000000306e-01 1.035999999999999943e+01 4.829456566212372871e-40 2.172455174524425173e-35 4.306240601862201844e-15 9.999999999999956701e-01 5.678660226402419731e-116 9.456200768301750995e-113
2.259000000000000057e+02 3.053000000000000158e-01 9.519999999999999574e+00 5.537696282169520368e-39 1.430023505354865486e-34 1.110419927247142489e-14 9.999999999999887867e-01 2.963466875349053520e-113 4.517644347182513367e-110
2.311999999999999886e+02 3.422000000000000042e-01 8.667999999999999261e+00 5.385603353431338574e-38 8.278053119471629484e-34 2.671369335681144769e-14 9.999999999999733546e-01 1.034686195206185292e-110 1.448716989851184625e-107
2.360999999999999943e+02 3.832000000000000406e-01 7.801999999999999602e+00 3.939503430115643790e-37 3.828934038257487462e-33 5.678764156547026961e-14 9.999999999999432676e-01 1.828269171573549501e-108 2.360747196132276781e-105
2.405999999999999943e+02 4.278000000000000136e-01 6.942999999999999616e+00 2.238546242385797423e-36 1.452600775910090181e-32 1.084231352347661956e-13 9.999999999998915312e-01 1.750960195579446124e-106 2.094897990080599632e-103
2.445000000000000000e+02 4.755000000000000338e-01 6.102999999999999758e+00 9.336889858867609569e-36 4.322164446154798780e-32 1.815229892650609535e-13 9.999999999998184785e-01 7.918389450081045929e-105 8.829895822306409564e-102
