# Temperatures_K Pressures_bar z_km Mass_fraction_CO Mass_fraction_CO2 Mass_fraction_N2 Mass_fraction_CH4 Mass_fraction_H2O Mass_fraction_O2
2.480999999999999943e+02 5.258000000000000451e-01 5.293000000000000149e+00 3.316857302891820197e-35 1.135131122284329620e-31 2.848158798350968967e-13 9.999999999997151168e-01 2.395329068152074061e-103 2.500994498800424219e-100
2.515000000000000000e+02 5.781000000000000583e-01 4.517999999999999794e+00 1.057811684222052227e-34 2.744043906799099742e-31 4.289238392760351290e-13 9.999999999995711208e-01 5.476706160264328188e-102 5.377225740964613198e-99
2.544000000000000057e+02 6.309000000000000163e-01 3.795999999999999819e+00 2.730648599342667746e-34 5.626400159158622036e-31 5.931471068749904862e-13 9.999999999994068078e-01 7.368093561199689992e-101 6.845052154381618635e-98
2.568000000000000114e+02 6.827000000000000846e-01 3.138999999999999790e+00 5.797832100111064870e-34 9.913342568279961779e-31 7.593543810642263571e-13 9.999999999992407185e-01 6.034067471128338529e-100 5.338848649148163527e-97
2.586000000000000227e+02 7.330000000000000959e-01 2.544999999999999929e+00 9.850714895315503635e-34 1.467855578054179366e-30 8.882373357781073716e-13 9.999999999991118216e-01 2.829298166026374295e-99 2.399447628306173165e-96
2.593000000000000114e+02 7.807000000000000606e-01 2.015000000000000124e+00 1.125058604487647642e-33 1.589975033342678486e-30 8.786121304803047522e-13 9.999999999991213695e-01 5.039642455742190905e-99 4.130510306213337741e-96
2.585000000000000000e+02 8.243000000000000327e-01 1.558999999999999941e+00 7.505677108670723673e-34 1.126942783134661469e-30 6.908733726663222434e-13 9.999999999993091082e-01 2.445112755245564143e-99 1.956158930658241425e-96
2.559000000000000057e+02 8.627000000000000224e-01 1.177999999999999936e+00 2.585400710369726640e-34 4.738900696227122523e-31 4.089014706433441187e-13 9.999999999995911049e-01 2.415106710573144812e-100 1.907501418940308623e-97
2.511999999999999886e+02 8.961000000000001187e-01 8.648000000000000131e-01 3.913947533494617202e-35 1.040113794936024550e-31 1.694279858365069619e-13 9.999999999998305800e-01 3.335013946178431509e-102 2.633238798472462075e-99
2.434000000000000057e+02 9.253000000000001224e-01 6.059999999999999831e-01 1.560845422464882467e-36 7.938538301000326906e-33 3.913971271475106373e-14 9.999999999999609201e-01 1.932525394382203527e-105 1.552355672338514684e-102
2.299000000000000057e+02 9.520000000000000684e-01 3.865000000000000102e-01 3.805684572408473130e-39 6.628343926481616234e-35 2.643325752344118597e-15 9.999999999999974465e-01 1.491815537415395663e-111 1.260737522929039745e-108
2.103000000000000114e+02 9.761000000000000787e-01 2.053999999999999992e-01 1.673183581992255554e-43 2.326161618190069625e-38 3.079309880610402187e-17 1.000000000000000000e+00 8.187417293298887221e-122 7.664513589637693781e-119
1.910000000000000000e+02 9.976000000000000423e-01 6.183999999999999914e-02 1.219036538141256177e-48 2.012010847802268113e-42 1.667498427250836179e-19 1.000000000000000000e+00 5.772190020887019561e-134 6.172437766524688781e-131
1.746999999999999886e+02 1.008000000000000007e+00 0.000000000000000000e+00 7.791225454517584975e-54 1.608938553809369010e-46 8.826190613775938709e-22 1.000000000000000000e+00 2.611164079914964718e-146 3.239414008210773023e-143
