# wavelengths_cm Transit_radius_cm depth_ppm
6.030515651079422626e-05 5.876922392000604868e+08 2.671864661195306212e+01
6.091185950818825520e-05 5.876635362279233932e+08 2.622647516747336027e+01
6.152466627097058082e-05 5.876347923461716175e+08 2.573362633330359017e+01
6.214363820637348206e-05 5.876060217975763083e+08 2.524034440408506441e+01
6.276883733941989406e-05 5.875772396227065325e+08 2.474688730427238781e+01
6.340032631913837340e-05 5.875484609624238014e+08 2.425351462715848427e+01
6.403816842484107597e-05 5.875197032607790232e+08 2.376052539747768222e+01
6.468242757246505216e-05 5.874909837888128757e+08 2.326821561576692687e+01
6.533316832097654781e-05 5.874623223723151684e+08 2.277692501512467516e+01
6.599045587884045207e-05 5.874337343340389729e+08 2.228691608083576270e+01
6.665435611055486528e-05 5.874052390371761322e+08 2.179852049694699900e+01
6.732493554325070530e-05 5.873768592391403913e+08 2.131212805487252382e+01
6.800226137335835827e-05 5.873486133078966141e+08 2.082805324772586886e+01
6.868640147334142791e-05 5.873205209725171328e+08 2.034663383429399630e+01
6.937742439849752917e-05 5.872926024542163610e+08 1.986821594383524214e+01
7.007539939382828110e-05 5.872648772767246962e+08 1.939313369077814642e+01
7.078039640097813295e-05 5.872373723214626312e+08 1.892184719758401812e+01
7.149248606524298587e-05 5.872101084447509050e+08 1.845471327386417570e+01
7.221173974264900311e-05 5.871830615324208736e+08 1.799131820545552785e+01
7.293822950710315367e-05 5.871562997981340885e+08 1.753283010391714569e+01
7.367202815761576069e-05 5.871298289070581198e+08 1.707934535155946421e+01
7.441320922559495940e-05 5.871036629156925678e+08 1.663110406653596840e+01
7.516184698221517902e-05 5.870778178892451525e+08 1.618838074022734475e+01
7.591801644585994679e-05 5.870523094982599020e+08 1.575144306416335560e+01
7.668179338963868866e-05 5.870271521603010893e+08 1.532053723171727810e+01
7.745325434897987150e-05 5.870023600450373888e+08 1.489590515863310927e+01
7.823247662930074412e-05 5.869780885107957125e+08 1.448020681758814376e+01
7.901953831375320284e-05 5.869539894253633022e+08 1.406747901170305681e+01
7.981451827104854633e-05 5.869302973652131557e+08 1.366173855530829861e+01
8.061749616336090290e-05 5.869070815587357283e+08 1.326417011028697956e+01
8.142855245430941145e-05 5.868842861774996519e+08 1.287381670831891256e+01
8.224776841702128400e-05 5.868619179289683104e+08 1.249079236406242899e+01
8.307522614227641369e-05 5.868399839208393097e+08 1.211521794352010062e+01
8.391100854673272879e-05 5.868184861431801319e+08 1.174712668686939665e+01
8.475519938123526062e-05 5.867974330307326317e+08 1.138666218752378612e+01
8.560788323920873579e-05 5.867768283582171202e+08 1.103388825213363944e+01
8.646914556513422107e-05 5.867566814949576855e+08 1.068896447638051761e+01
8.733907266311093250e-05 5.867377032998057604e+08 1.036405968088292795e+01
8.821775170550482119e-05 5.867177256790889502e+08 1.002205617373382829e+01
8.910527074168394959e-05 5.866989290109630823e+08 9.700280417940394528e+00
9.000171870684110537e-05 5.866805877253873348e+08 9.386310186574952752e+00
9.090718543090599746e-05 5.866627124950017929e+08 9.080327436750206260e+00
9.182176164754698013e-05 5.866453274208263159e+08 8.782743974642501783e+00
9.274553900326273871e-05 5.866283622106058598e+08 8.492355901645410654e+00
9.367861006656603767e-05 5.866117701733765602e+08 8.208363434098380651e+00
9.462106833725999176e-05 5.865956191463057995e+08 7.931927095439037956e+00
9.557300825580683317e-05 5.865799385804598331e+08 7.663550317751755436e+00
9.653452521279174965e-05 5.865646985670156479e+08 7.402720578493722670e+00
9.750571555848176655e-05 5.865498840195803642e+08 7.149179099283927030e+00
9.848667661248037739e-05 5.865354910924969912e+08 6.902859514888967318e+00
9.947750667347967138e-05 5.865215089860639572e+08 6.663576475432658519e+00
1.004783050291107709e-04 5.865079258756129742e+08 6.431127123531314105e+00
1.014891719658928774e-04 5.864947571056585312e+08 6.205773568313770028e+00
1.025102087792825240e-04 5.864819683704582453e+08 5.986928286765355267e+00
1.035415177838240939e-04 5.864717812726569176e+08 5.812606543220275590e+00
1.045832023234028889e-04 5.864617798513376713e+08 5.641465043617542641e+00
1.056353667816000471e-04 5.864492004783788919e+08 5.426214506943779270e+00
1.066981165921528844e-04 5.864360304236974716e+08 5.200861533266742498e+00
1.077715582495204311e-04 5.864237419854414463e+08 4.990598473535370339e+00
1.088557993195540683e-04 5.864131430818279982e+08 4.809247974084898125e+00
1.099509484502767204e-04 5.864029038438261747e+08 4.634054576596195574e+00
1.110571153827704402e-04 5.863932117085618973e+08 4.468224927065936214e+00
1.121744109621725230e-04 5.863835436598309278e+08 4.302810121865018544e+00
1.133029471487832118e-04 5.863747457661319971e+08 4.152285543591224481e+00
