# wavelengths_cm Transit_radius_cm depth_ppm
6.030515651079422626e-05 5.861271638617397547e+08 -8.270705221448793054e-02
6.091185950818825520e-05 5.861271641371554136e+08 -8.270234210819449316e-02
6.152466627097058082e-05 5.861271634886347055e+08 -8.271343298591693483e-02
6.214363820637348206e-05 5.861271634456650019e+08 -8.271416784504825870e-02
6.276883733941989406e-05 5.861271644132575989e+08 -8.269762026205018657e-02
6.340032631913837340e-05 5.861271634522037506e+08 -8.271405602043691019e-02
6.403816842484107597e-05 5.861271634731301069e+08 -8.271369814195050907e-02
6.468242757246505216e-05 5.861271636274980307e+08 -8.271105817122581527e-02
6.533316832097654781e-05 5.861271694970475435e+08 -8.261067825905454853e-02
6.599045587884045207e-05 5.861271694068638086e+08 -8.261222056373895839e-02
6.665435611055486528e-05 5.861271636939971447e+08 -8.270992091643636357e-02
6.732493554325070530e-05 5.861271633779568672e+08 -8.271532577728857305e-02
6.800226137335835827e-05 5.861271634682046175e+08 -8.271378237696636049e-02
6.868640147334142791e-05 5.861271632578269243e+08 -8.271738021557828446e-02
6.937742439849752917e-05 5.861271635003237724e+08 -8.271323308126321550e-02
7.007539939382828110e-05 5.861271632493512630e+08 -8.271752516528785293e-02
7.078039640097813295e-05 5.861271813835711479e+08 -8.240739720241263555e-02
7.149248606524298587e-05 5.861272212585396767e+08 -8.172546307772599050e-02
7.221173974264900311e-05 5.861271729712079763e+08 -8.255126383088873254e-02
7.293822950710315367e-05 5.861271638383277655e+08 -8.270745260194045656e-02
7.367202815761576069e-05 5.861271633197132349e+08 -8.271632184837995894e-02
7.441320922559495940e-05 5.861271634072582722e+08 -8.271482466961677105e-02
7.516184698221517902e-05 5.861271633631856441e+08 -8.271557839107934740e-02
7.591801644585994679e-05 5.861271634854152203e+08 -8.271348804435962876e-02
7.668179338963868866e-05 5.861271632445474863e+08 -8.271760731864752358e-02
7.745325434897987150e-05 5.861271635353858471e+08 -8.271263345688950608e-02
7.823247662930074412e-05 5.861274493541116714e+08 -7.782461511713867353e-02
7.901953831375320284e-05 5.861272987440369129e+08 -8.040032071573133265e-02
7.981451827104854633e-05 5.861271663915828466e+08 -8.266378732171375532e-02
8.061749616336090290e-05 5.861271633254961967e+08 -8.271622294884473092e-02
8.142855245430941145e-05 5.861271635046286583e+08 -8.271315945985602269e-02
8.224776841702128400e-05 5.861271645165132284e+08 -8.269585440385140984e-02
8.307522614227641369e-05 5.861271669857573509e+08 -8.265362586313385052e-02
8.391100854673272879e-05 5.861271644172619581e+08 -8.269755177995774531e-02
8.475519938123526062e-05 5.861271633196246624e+08 -8.271632336301992794e-02
8.560788323920873579e-05 5.861271635760488510e+08 -8.271193804572707364e-02
8.646914556513422107e-05 5.861271776773614883e+08 -8.247078009246511243e-02
8.733907266311093250e-05 5.861283248106534481e+08 -6.285270640698836786e-02
8.821775170550482119e-05 5.861271671079268456e+08 -8.265153654416579343e-02
8.910527074168394959e-05 5.861271634264193773e+08 -8.271449697987476313e-02
9.000171870684110537e-05 5.861271635545991659e+08 -8.271230487349878757e-02
9.090718543090599746e-05 5.861271847378565073e+08 -8.235003285446884647e-02
9.182176164754698013e-05 5.861272640008478165e+08 -8.099449220637744418e-02
9.274553900326273871e-05 5.861273023282192945e+08 -8.033902470074583135e-02
9.367861006656603767e-05 5.861272377527995110e+08 -8.144338137151629908e-02
9.462106833725999176e-05 5.861271758241254091e+08 -8.250247378190733727e-02
9.557300825580683317e-05 5.861271641896718740e+08 -8.270144398233725269e-02
9.653452521279174965e-05 5.861271661457551718e+08 -8.266799141973502074e-02
9.750571555848176655e-05 5.861271681373815536e+08 -8.263393100573779293e-02
9.848667661248037739e-05 5.861271725559960604e+08 -8.255836470567290419e-02
9.947750667347967138e-05 5.861271733056318760e+08 -8.254554457707508064e-02
1.004783050291107709e-04 5.861271634329130650e+08 -8.271438592649449362e-02
1.014891719658928774e-04 5.861271719979839325e+08 -8.256790772261979328e-02
1.025102087792825240e-04 5.861271634241790771e+08 -8.271453529381123104e-02
1.035415177838240939e-04 5.861299742990231514e+08 -3.464337641203307783e-02
1.045832023234028889e-04 5.861324896734999418e+08 8.374375079090334850e-03
1.056353667816000471e-04 5.861313024209268093e+08 -1.192995514406591795e-02
1.066981165921528844e-04 5.861289103792618513e+08 -5.283839929120670575e-02
1.077715582495204311e-04 5.861272224817583561e+08 -8.170454382421876716e-02
1.088557993195540683e-04 5.861271987702338696e+08 -8.211005381137770343e-02
1.099509484502767204e-04 5.861272018101246357e+08 -8.205806617713395923e-02
1.110571153827704402e-04 5.861274650060192347e+08 -7.755693905596583448e-02
1.121744109621725230e-04 5.861273675377700329e+08 -7.922382311765341356e-02
1.133029471487832118e-04 5.861279297184069157e+08 -6.960950950221755917e-02
1.144428370292851978e-04 5.861271913909186125e+08 -8.223625345500851225e-02
1.155941948280749969e-04 5.861273053070459366e+08 -8.028808136568876819e-02
1.167571359187092916e-04 5.861271660945488214e+08 -8.266886714093990562e-02
1.179317768354664302e-04 5.861271722942670584e+08 -8.256284074555964025e-02
1.191182352850232967e-04 5.861271648741165400e+08 -8.268973874060181473e-02
1.203166301582505638e-04 5.862394951652973890e+08 1.838545490189977372e+00
1.215270815421265975e-04 5.862029014205862284e+08 1.212625868925370831e+00
1.227497107317707321e-04 5.861745647164708376e+08 7.279660727889858407e-01
1.239846402425976238e-04 5.861281849069395065e+08 -6.524531740160055548e-02
1.252319938225942685e-04 5.861272550364532471e+08 -8.114779959190121517e-02
1.264918964647207403e-04 5.861286050752574205e+08 -5.805966414630825412e-02
1.277644744194345017e-04 5.861271835463167429e+08 -8.237041034040082366e-02
1.290498552073420944e-04 5.861405672963865995e+08 1.465185429371125281e-01
1.303481676319776818e-04 5.861281221960200071e+08 -6.631778935689203180e-02
1.316595417927094456e-04 5.861691269167380333e+08 6.349627730853315555e-01
1.329841090977765478e-04 5.861292518575652838e+08 -4.699848359469571690e-02
1.343220022774576879e-04 5.861455936710708141e+08 2.324809751566894178e-01
1.356733553973706312e-04 5.861275423849381208e+08 -7.623361882588586269e-02
1.370383038719069375e-04 5.861284398713266850e+08 -6.088495670297700002e-02
1.384169844778016726e-04 5.861273409552787542e+08 -7.967843194392276729e-02
1.398095353678386460e-04 5.861271704318890572e+08 -8.259469077734138409e-02
1.412160960846944792e-04 5.861271665272740126e+08 -8.266146675750896122e-02
1.426368075749220225e-04 5.863804112621487379e+08 4.249217167230151304e+00
1.440718122030740396e-04 5.866639928019028902e+08 9.102243030401623969e+00
1.455212537659684080e-04 5.861559224772205353e+08 4.091293518396641460e-01
1.469852775070980061e-04 5.861274216750005484e+08 -7.829797819825445870e-02
1.484640301311855853e-04 5.861276595326324701e+08 -7.423017988174951398e-02
1.499576598188834102e-04 5.861431426924964190e+08 1.905635782886161422e-01
1.514663162416225999e-04 5.861275356047058105e+08 -7.634957313482715335e-02
1.529901505766114930e-04 5.862257061060497761e+08 1.602685217214165014e+00
1.545293155219835783e-04 5.862019052490354776e+08 1.195587346801501027e+00
1.560839653120996802e-04 5.861491047079678774e+08 2.925281241053063752e-01
1.576542557330033148e-04 5.866489928924896717e+08 8.845485783058371965e+00
1.592403441380307893e-04 5.862025694831907749e+08 1.206948407190177264e+00
1.608423894635792686e-04 5.866190305955162048e+08 8.332633213063683542e+00
1.624605522450340580e-04 5.861634731055606604e+08 5.382659202408195398e-01
1.640949946328538805e-04 5.862342223978210688e+08 1.748354753663140748e+00
1.657458804088202760e-04 5.861773428457633257e+08 7.754810631579953650e-01
1.674133750024500093e-04 5.861302388874897957e+08 -3.011841237336465582e-02
1.690976455075709768e-04 5.861272372125992775e+08 -8.145261977388829067e-02
1.707988606990669498e-04 5.861272830916759968e+08 -8.066800445527189112e-02
1.725171910497899088e-04 5.861272128938140869e+08 -8.186851502743630604e-02
1.742528087476425704e-04 5.861271650020962954e+08 -8.268755005468575447e-02
1.760058877128318924e-04 5.861282844820840359e+08 -6.354239922539273167e-02
1.777766036152977870e-04 5.861274679403002262e+08 -7.750675751803992597e-02
1.795651338923168769e-04 5.861279520602109432e+08 -6.922742373823931317e-02
1.813716577662815958e-04 5.861272610229562521e+08 -8.104541954645805291e-02
1.831963562626600782e-04 5.861271696421834230e+08 -8.260819617257508796e-02
1.850394122281366779e-04 5.861271672753497362e+08 -8.264867330983394211e-02
