# wavelengths_cm Transit_radius_cm depth_ppm
6.030515651079422626e-05 5.885808189538475275e+08 4.196706364156219138e+01
6.091185950818825520e-05 5.885755776227039099e+08 4.187705256348659333e+01
6.152466627097058082e-05 5.885703936416060925e+08 4.178802716477679269e+01
6.214363820637348206e-05 5.885652892358460426e+08 4.170036909317423834e+01
6.276883733941989406e-05 5.885601226009417772e+08 4.161164313329754805e+01
6.340032631913837340e-05 5.885550101220207214e+08 4.152384795385746941e+01
6.403816842484107597e-05 5.885499059713542461e+08 4.143619655398467927e+01
6.468242757246505216e-05 5.885447637308446169e+08 4.134789182217738812e+01
6.533316832097654781e-05 5.885396779450070858e+08 4.126055731278270144e+01
6.599045587884045207e-05 5.885346193530391455e+08 4.117369053261941758e+01
6.665435611055486528e-05 5.885295985155361891e+08 4.108747281519593031e+01
6.732493554325070530e-05 5.885246430815920830e+08 4.100237892755108504e+01
6.800226137335835827e-05 5.885197903068889380e+08 4.091904858170634895e+01
6.868640147334142791e-05 5.885149769088512659e+08 4.083639507855520634e+01
6.937742439849752917e-05 5.885102615171371698e+08 4.075542515135409616e+01
7.007539939382828110e-05 5.885056150318021774e+08 4.067563907849260829e+01
7.078039640097813295e-05 5.885009974755930901e+08 4.059635037964751803e+01
7.149248606524298587e-05 5.884964182779958248e+08 4.051772095624314574e+01
7.221173974264900311e-05 5.884918541790770292e+08 4.043935140112176185e+01
7.293822950710315367e-05 5.884872710142781734e+08 4.036065507984042000e+01
7.367202815761576069e-05 5.884826575278140306e+08 4.028143873217714344e+01
7.441320922559495940e-05 5.884780348251572847e+08 4.020206475981070326e+01
7.516184698221517902e-05 5.884733445798536539e+08 4.012153168576278262e+01
7.591801644585994679e-05 5.884686220714799166e+08 4.004044529255592977e+01
7.668179338963868866e-05 5.884638716408520937e+08 3.995888012528511979e+01
7.745325434897987150e-05 5.884590831901323795e+08 3.987666281721338635e+01
7.823247662930074412e-05 5.884542697606437206e+08 3.979401729998422610e+01
7.901953831375320284e-05 5.884494678382362127e+08 3.971157003038486977e+01
7.981451827104854633e-05 5.884446516259616613e+08 3.962887808473760032e+01
8.061749616336090290e-05 5.884398289280208349e+08 3.954607546162790044e+01
8.142855245430941145e-05 5.884350923893047571e+08 3.946475279756327126e+01
8.224776841702128400e-05 5.884303144755666256e+08 3.938272041993597838e+01
8.307522614227641369e-05 5.884256050948246717e+08 3.930186534254185204e+01
8.391100854673272879e-05 5.884209376450853348e+08 3.922173081452597643e+01
8.475519938123526062e-05 5.884162334100486040e+08 3.914096537013536192e+01
8.560788323920873579e-05 5.884116189311232567e+08 3.906174154585641389e+01
8.646914556513422107e-05 5.884069686349041462e+08 3.898190341980492946e+01
8.733907266311093250e-05 5.884023517841926813e+08 3.890264012365003765e+01
8.821775170550482119e-05 5.883976641895312071e+08 3.882216291322340851e+01
8.910527074168394959e-05 5.883929508521044254e+08 3.874124439421605359e+01
9.000171870684110537e-05 5.883882237821419239e+08 3.866009076623557661e+01
9.090718543090599746e-05 5.883834356129995584e+08 3.857788886137679896e+01
9.182176164754698013e-05 5.883785794656361341e+08 3.849452060930974540e+01
9.274553900326273871e-05 5.883736758720314503e+08 3.841033851874151139e+01
9.367861006656603767e-05 5.883686713180234432e+08 3.832442392110797869e+01
9.462106833725999176e-05 5.883636174853717089e+08 3.823766408462485344e+01
9.557300825580683317e-05 5.883584858251323700e+08 3.814956893383497061e+01
9.653452521279174965e-05 5.883532576770029068e+08 3.805981816674236029e+01
9.750571555848176655e-05 5.883480099749168158e+08 3.796973252206969818e+01
9.848667661248037739e-05 5.883426449745702744e+08 3.787763408584488900e+01
9.947750667347967138e-05 5.883372429180771112e+08 3.778490037273710556e+01
1.004783050291107709e-04 5.883318061531604528e+08 3.769157170159982684e+01
1.014891719658928774e-04 5.883262460952295065e+08 3.759612744817383145e+01
1.025102087792825240e-04 5.883207426189644337e+08 3.750165536694947832e+01
1.035415177838240939e-04 5.883152579506713152e+08 3.740750702056188004e+01
1.045832023234028889e-04 5.883097215703488588e+08 3.731247188949597415e+01
1.056353667816000471e-04 5.883040486069440842e+08 3.721509315950049768e+01
1.066981165921528844e-04 5.882982257889082432e+08 3.711514309020558500e+01
1.077715582495204311e-04 5.882925141238753796e+08 3.701710195001330561e+01
1.088557993195540683e-04 5.882868231248815060e+08 3.691941649057039143e+01
1.099509484502767204e-04 5.882810502327355146e+08 3.682032630840186016e+01
1.110571153827704402e-04 5.882754192008265257e+08 3.672367205689202763e+01
1.121744109621725230e-04 5.882696258826739788e+08 3.662423319706280722e+01
1.133029471487832118e-04 5.882639293624247313e+08 3.652645677053018858e+01
1.144428370292851978e-04 5.882581811721482277e+08 3.642779442712337357e+01
1.155941948280749969e-04 5.882523424775047302e+08 3.632757964734387457e+01
1.167571359187092916e-04 5.882466089342697859e+08 3.622917064395151954e+01
1.179317768354664302e-04 5.882407530023771524e+08 3.612866198445711063e+01
1.191182352850232967e-04 5.882348684983772039e+08 3.602766393367430453e+01
1.203166301582505638e-04 5.882366190416134596e+08 3.605770908844341704e+01
1.215270815421265975e-04 5.882272868146559000e+08 3.589753801095564967e+01
1.227497107317707321e-04 5.882195229891710281e+08 3.576428769158209064e+01
1.239846402425976238e-04 5.882109486234099865e+08 3.561712813589165449e+01
1.252319938225942685e-04 5.882047081059206724e+08 3.551002514521866260e+01
1.264918964647207403e-04 5.881985636712164879e+08 3.540457228721624716e+01
1.277644744194345017e-04 5.881920611850628853e+08 3.529297562936892518e+01
1.290498552073420944e-04 5.881863153025101423e+08 3.519436494449547581e+01
1.303481676319776818e-04 5.881790071396809816e+08 3.506894383849898844e+01
1.316595417927094456e-04 5.881746095048397779e+08 3.499347333380430314e+01
1.329841090977765478e-04 5.881653808464834690e+08 3.483509651054473721e+01
1.343220022774576879e-04 5.881593001252897978e+08 3.473074409710338273e+01
1.356733553973706312e-04 5.881510271817258596e+08 3.458877227080979821e+01
1.370383038719069375e-04 5.881437281683152914e+08 3.446351569941752757e+01
1.384169844778016726e-04 5.881360413886996508e+08 3.433160644821089136e+01
1.398095353678386460e-04 5.881285136295698881e+08 3.420242774450673551e+01
1.412160960846944792e-04 5.881207736889876127e+08 3.406960966461734586e+01
1.426368075749220225e-04 5.881430000278196335e+08 3.445102034498327015e+01
1.440718122030740396e-04 5.881464983086671829e+08 3.451105321268653370e+01
1.455212537659684080e-04 5.880969513017777205e+08 3.366082631633537403e+01
1.469852775070980061e-04 5.880880614479079247e+08 3.350828395643735291e+01
1.484640301311855853e-04 5.880792972161636353e+08 3.335789942301930466e+01
1.499576598188834102e-04 5.880713242123751640e+08 3.322109343394268421e+01
1.514663162416225999e-04 5.880611737488938570e+08 3.304692785780789421e+01
1.529901505766114930e-04 5.880595358657276630e+08 3.301882470698830474e+01
1.545293155219835783e-04 5.880483029270770550e+08 3.282608964449077149e+01
1.560839653120996802e-04 5.880332958772057295e+08 3.256860402534939425e+01
1.576542557330033148e-04 5.880717652040961981e+08 3.322866020850020874e+01
1.592403441380307893e-04 5.880174910793799162e+08 3.229743803519668433e+01
1.608423894635792686e-04 5.880502822472739220e+08 3.286005060628279750e+01
1.624605522450340580e-04 5.879941776556632519e+08 3.189745839499849467e+01
1.640949946328538805e-04 5.879928976873425245e+08 3.187549891928247447e+01
1.657458804088202760e-04 5.879760811610401869e+08 3.158699457714082470e+01
1.674133750024500093e-04 5.879625779935525656e+08 3.135534019499026570e+01
1.690976455075709768e-04 5.879520840586667061e+08 3.117531455312610333e+01
1.707988606990669498e-04 5.879415184475399256e+08 3.099406253651237009e+01
1.725171910497899088e-04 5.879312535833121538e+08 3.081797292269451560e+01
