# wavelengths_cm Transit_radius_cm depth_ppm
6.030515651079422626e-05 5.879373141915872097e+08 3.092193984629368231e+01
6.091185950818825520e-05 5.879220592751104832e+08 3.066025087670323757e+01
6.152466627097058082e-05 5.879069248647856712e+08 3.040063582784249974e+01
6.214363820637348206e-05 5.878921726059954166e+08 3.014758262275225675e+01
6.276883733941989406e-05 5.878780870964103937e+08 2.990597244114887943e+01
6.340032631913837340e-05 5.878644203618991375e+08 2.967155108435561672e+01
6.403816842484107597e-05 5.878509930043510199e+08 2.944124099553571128e+01
6.468242757246505216e-05 5.878377305333379507e+08 2.921376425437433255e+01
6.533316832097654781e-05 5.878248102543934584e+08 2.899216169683136357e+01
6.599045587884045207e-05 5.878123310554292202e+08 2.877812896014190969e+01
6.665435611055486528e-05 5.878002247039011717e+08 2.857049533167826993e+01
6.732493554325070530e-05 5.877884300258977413e+08 2.836821126654028546e+01
6.800226137335835827e-05 5.877769009625223875e+08 2.817048653541744230e+01
6.868640147334142791e-05 5.877656922183350325e+08 2.797825903246719648e+01
6.937742439849752917e-05 5.877549231902942657e+08 2.779357601780219511e+01
7.007539939382828110e-05 5.877445457037457228e+08 2.761561092974520903e+01
7.078039640097813295e-05 5.877344403278555870e+08 2.744231532826458064e+01
7.149248606524298587e-05 5.877244208512880802e+08 2.727049574330353821e+01
7.221173974264900311e-05 5.877146534909278154e+08 2.710300240750329692e+01
7.293822950710315367e-05 5.877052267384179831e+08 2.694135254687193282e+01
7.367202815761576069e-05 5.876961373364112377e+08 2.678549002470669294e+01
7.441320922559495940e-05 5.876873628044295311e+08 2.663502909238452787e+01
7.516184698221517902e-05 5.876791983850476742e+08 2.649503205878288981e+01
7.591801644585994679e-05 5.876713984823806286e+08 2.636128728733041982e+01
7.668179338963868866e-05 5.876635831579272747e+08 2.622727985921511262e+01
7.745325434897987150e-05 5.876554452329739332e+08 2.608774277443093581e+01
7.823247662930074412e-05 5.876475826954944134e+08 2.595292946153281477e+01
7.901953831375320284e-05 5.876402294401428699e+08 2.582685007771472741e+01
7.981451827104854633e-05 5.876332664657379389e+08 2.570746393008808184e+01
8.061749616336090290e-05 5.876266894646402597e+08 2.559469692388675810e+01
8.142855245430941145e-05 5.876208083472909927e+08 2.549386237077295547e+01
8.224776841702128400e-05 5.876152015140976906e+08 2.539773148960174609e+01
8.307522614227641369e-05 5.876091113870431185e+08 2.529331542564480628e+01
8.391100854673272879e-05 5.876026677574832439e+08 2.518283969096755825e+01
8.475519938123526062e-05 5.875964422624845505e+08 2.507610501402713155e+01
8.560788323920873579e-05 5.875906063912204504e+08 2.497605137310582535e+01
8.646914556513422107e-05 5.875849896424231529e+08 2.487975543626532016e+01
8.733907266311093250e-05 5.875803041703627110e+08 2.479942640919107788e+01
8.821775170550482119e-05 5.875762589599006176e+08 2.473007471903178711e+01
8.910527074168394959e-05 5.875725361120450497e+08 2.466625008326970203e+01
9.000171870684110537e-05 5.875680685245698690e+08 2.458965813886485563e+01
9.090718543090599746e-05 5.875634663859759569e+08 2.451076007032074955e+01
9.182176164754698013e-05 5.875588018920891285e+08 2.443079362671435462e+01
9.274553900326273871e-05 5.875536928004786968e+08 2.434320588449186928e+01
9.367861006656603767e-05 5.875486837766033411e+08 2.425733439346622689e+01
9.462106833725999176e-05 5.875448375368080139e+08 2.419139742343676147e+01
9.557300825580683317e-05 5.875417296389147043e+08 2.413811833310167998e+01
9.653452521279174965e-05 5.875388520635744333e+08 2.408878794296752446e+01
9.750571555848176655e-05 5.875364890478408337e+08 2.404827884958977080e+01
9.848667661248037739e-05 5.875343146796264648e+08 2.401100387775212752e+01
9.947750667347967138e-05 5.875314730299777985e+08 2.396228997650391079e+01
1.004783050291107709e-04 5.875279134778274298e+08 2.390126953106457108e+01
1.014891719658928774e-04 5.875244355157891512e+08 2.384164812005869294e+01
1.025102087792825240e-04 5.875208364838149548e+08 2.377995162370519466e+01
1.035415177838240939e-04 5.875177593997272253e+08 2.372720293185298601e+01
1.045832023234028889e-04 5.875152102453621626e+08 2.368350444639682095e+01
1.056353667816000471e-04 5.875129528921997547e+08 2.364480827633228088e+01
1.066981165921528844e-04 5.875107334653087854e+08 2.360676239381708186e+01
1.077715582495204311e-04 5.875089493204606771e+08 2.357617831182886903e+01
1.088557993195540683e-04 5.875076569685332775e+08 2.355402467679234846e+01
1.099509484502767204e-04 5.875061994450582266e+08 2.352903971188263910e+01
1.110571153827704402e-04 5.875040040807086229e+08 2.349140674633689585e+01
1.121744109621725230e-04 5.875017556451015472e+08 2.345286417833993298e+01
1.133029471487832118e-04 5.874994529393991232e+08 2.341339146803942128e+01
1.144428370292851978e-04 5.874968140657612085e+08 2.336815639676982670e+01
1.155941948280749969e-04 5.874944753848870993e+08 2.332806734273396287e+01
1.167571359187092916e-04 5.874927174844858646e+08 2.329793398026648532e+01
1.179317768354664302e-04 5.874911464452704191e+08 2.327100380835770466e+01
1.191182352850232967e-04 5.874898369425879717e+08 2.324855685378601677e+01
1.203166301582505638e-04 5.875111888599014282e+08 2.361456885197554101e+01
1.215270815421265975e-04 5.875014514612978697e+08 2.344764988648716653e+01
