vector_z_km	pressure_Pa	temperature_K	Xmass_N2	Xmass_CO2	Xmass_H2O_l	Xmass_H2O_s
0.000e+00	1.008e+05	1.747e+02	9.996e-01	4.000e-04	0.000e+00	0.000e+00
6.184e-02	9.976e+04	1.910e+02	9.996e-01	4.000e-04	0.000e+00	0.000e+00
2.054e-01	9.761e+04	2.103e+02	9.996e-01	4.000e-04	0.000e+00	0.000e+00
3.865e-01	9.520e+04	2.299e+02	9.996e-01	4.000e-04	0.000e+00	0.000e+00
6.060e-01	9.253e+04	2.434e+02	9.996e-01	4.000e-04	0.000e+00	0.000e+00
8.648e-01	8.961e+04	2.512e+02	9.996e-01	4.000e-04	0.000e+00	0.000e+00
1.178e+00	8.627e+04	2.559e+02	9.996e-01	4.000e-04	0.000e+00	0.000e+00
1.559e+00	8.243e+04	2.585e+02	9.996e-01	4.000e-04	0.000e+00	0.000e+00
2.015e+00	7.807e+04	2.593e+02	9.996e-01	4.000e-04	0.000e+00	0.000e+00
2.545e+00	7.330e+04	2.586e+02	9.996e-01	4.000e-04	0.000e+00	0.000e+00
3.139e+00	6.827e+04	2.568e+02	9.996e-01	4.000e-04	0.000e+00	0.000e+00
3.796e+00	6.309e+04	2.544e+02	9.996e-01	4.000e-04	0.000e+00	0.000e+00
4.518e+00	5.781e+04	2.515e+02	9.996e-01	4.000e-04	0.000e+00	0.000e+00
5.293e+00	5.258e+04	2.481e+02	9.996e-01	4.000e-04	0.000e+00	0.000e+00
6.103e+00	4.755e+04	2.445e+02	9.996e-01	4.000e-04	0.000e+00	0.000e+00
6.943e+00	4.278e+04	2.406e+02	9.996e-01	4.000e-04	0.000e+00	0.000e+00
7.802e+00	3.832e+04	2.361e+02	9.996e-01	4.000e-04	0.000e+00	0.000e+00
8.668e+00	3.422e+04	2.312e+02	9.996e-01	4.000e-04	0.000e+00	0.000e+00
9.520e+00	3.053e+04	2.259e+02	9.996e-01	4.000e-04	0.000e+00	0.000e+00
1.036e+01	2.719e+04	2.205e+02	9.996e-01	4.000e-04	0.000e+00	0.000e+00
1.120e+01	2.417e+04	2.150e+02	9.996e-01	4.000e-04	0.000e+00	0.000e+00
1.204e+01	2.140e+04	2.094e+02	9.996e-01	4.000e-04	0.000e+00	0.000e+00
1.290e+01	1.883e+04	2.038e+02	9.996e-01	4.000e-04	0.000e+00	0.000e+00
1.379e+01	1.642e+04	1.981e+02	9.996e-01	4.000e-04	0.000e+00	0.000e+00
1.475e+01	1.413e+04	1.924e+02	9.996e-01	4.000e-04	0.000e+00	0.000e+00
1.575e+01	1.199e+04	1.872e+02	9.996e-01	4.000e-04	0.000e+00	0.000e+00
1.680e+01	1.006e+04	1.834e+02	9.996e-01	4.000e-04	0.000e+00	0.000e+00
1.795e+01	8.283e+03	1.814e+02	9.996e-01	4.000e-04	0.000e+00	0.000e+00
1.928e+01	6.606e+03	1.805e+02	9.996e-01	4.000e-04	0.000e+00	0.000e+00
2.082e+01	5.081e+03	1.795e+02	9.996e-01	4.000e-04	0.000e+00	0.000e+00
2.258e+01	3.760e+03	1.782e+02	9.996e-01	4.000e-04	0.000e+00	0.000e+00
2.474e+01	2.591e+03	1.775e+02	9.996e-01	4.000e-04	0.000e+00	0.000e+00
2.786e+01	1.524e+03	1.787e+02	9.996e-01	4.000e-04	0.000e+00	0.000e+00
3.162e+01	7.937e+02	1.794e+02	9.996e-01	4.000e-04	0.000e+00	0.000e+00
3.499e+01	4.461e+02	1.822e+02	9.996e-01	4.000e-04	0.000e+00	0.000e+00
3.839e+01	2.510e+02	1.826e+02	9.996e-01	4.000e-04	0.000e+00	0.000e+00
4.178e+01	1.413e+02	1.827e+02	9.996e-01	4.000e-04	0.000e+00	0.000e+00
4.518e+01	7.937e+01	1.829e+02	9.996e-01	4.000e-04	0.000e+00	0.000e+00
4.860e+01	4.461e+01	1.837e+02	9.996e-01	4.000e-04	0.000e+00	0.000e+00
5.204e+01	2.510e+01	1.827e+02	9.996e-01	4.000e-04	0.000e+00	0.000e+00
5.542e+01	1.413e+01	1.865e+02	9.996e-01	4.000e-04	0.000e+00	0.000e+00
