#grid_point     #iterations     #chem_iter      #cond_iter      converged               elem_conserved          p(bar)                  T(K)                    n_<tot>(cm-3)           n_g(cm-3)               m(u)                    e-      Al      Ar      C       Ca      Cl      Co      Cr      Cu      F       Fe      Ge      H       He      K       Mg      Mn      N       Na      Ne      Ni      O       P       S       Si      Ti      V       Zn      
20              18              18              0               ok                      ok                      2.4170000000e-01        2.1500000000e+02        1.5121242346e+19        8.1424463894e+18        2.3371902194e+00        ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      
21              17              17              0               ok                      ok                      2.7190000000e-01        2.2050000000e+02        1.6586314537e+19        8.9313545728e+18        2.3371902183e+00        ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      
22              17              17              0               ok                      ok                      3.0530000000e-01        2.2590000000e+02        1.8178575836e+19        9.7887512109e+18        2.3371902171e+00        ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      
23              16              16              0               ok                      ok                      3.4220000000e-01        2.3120000000e+02        1.9908633796e+19        1.0720348229e+19        2.3371902160e+00        ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      
24              16              16              0               ok                      ok                      3.8320000000e-01        2.3610000000e+02        2.1831259694e+19        1.1755638720e+19        2.3371902149e+00        ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      
25              16              16              0               ok                      ok                      4.2780000000e-01        2.4060000000e+02        2.3916324621e+19        1.2878398947e+19        2.3371902139e+00        ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      
26              15              15              0               ok                      ok                      4.7550000000e-01        2.4450000000e+02        2.6158988082e+19        1.4086022415e+19        2.3371902131e+00        ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      
27              15              15              0               ok                      ok                      5.2580000000e-01        2.4810000000e+02        2.8506447570e+19        1.5350076168e+19        2.3371902125e+00        ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      
28              15              15              0               ok                      ok                      5.7810000000e-01        2.5150000000e+02        3.0918204256e+19        1.6648752506e+19        2.3371902120e+00        ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      
29              15              15              0               ok                      ok                      6.3090000000e-01        2.5440000000e+02        3.3357439139e+19        1.7962225230e+19        2.3371902116e+00        ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      
30              15              15              0               ok                      ok                      6.8270000000e-01        2.5680000000e+02        3.5758901199e+19        1.9255358144e+19        2.3371902114e+00        ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      
31              15              15              0               ok                      ok                      7.3300000000e-01        2.5860000000e+02        3.8126306594e+19        2.0530152313e+19        2.3371902113e+00        ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      
32              15              15              0               ok                      ok                      7.8070000000e-01        2.5930000000e+02        4.0497754607e+19        2.1807123339e+19        2.3371902115e+00        ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      
33              15              15              0               ok                      ok                      8.2430000000e-01        2.5850000000e+02        4.2891776509e+19        2.3096249889e+19        2.3371902120e+00        ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      
34              15              15              0               ok                      ok                      8.6270000000e-01        2.5590000000e+02        4.5345980225e+19        2.4417782978e+19        2.3371902129e+00        ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      
35              15              15              0               ok                      ok                      8.9610000000e-01        2.5120000000e+02        4.7982859370e+19        2.5837682641e+19        2.3371902143e+00        ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      
36              15              15              0               ok                      ok                      9.2530000000e-01        2.4340000000e+02        5.1134177076e+19        2.7534595803e+19        2.3371902163e+00        ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      
37              17              17              0               ok                      ok                      9.5200000000e-01        2.2990000000e+02        5.5698982351e+19        2.9992639979e+19        2.3371902194e+00        ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      
38              19              19              0               ok                      ok                      9.7610000000e-01        2.1030000000e+02        6.2431579726e+19        3.3617991064e+19        2.3371902233e+00        ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      
39              68              68              0               ok                      ok                      9.9760000000e-01        1.9100000000e+02        7.0254210841e+19        3.7830300454e+19        2.3371902366e+00        ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      
40              66              66              0               ok                      ok                      1.0080000000e+00        1.7470000000e+02        7.7609864494e+19        4.1791152147e+19        2.3371902986e+00        ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      
